n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
57,2,3651.5490,3650.5088,6.108722e-04,4.594329e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
58,2,3651.3951,3650.3550,6.003493e-04,4.515187e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
59,2,3651.2490,3650.2089,5.901827e-04,4.438724e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
60,2,3651.1102,3650.0701,5.803545e-04,4.364807e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
61,2,3650.9781,3649.9381,5.708482e-04,4.293311e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
62,2,3650.8524,3649.8124,5.616481e-04,4.224118e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
63,2,3650.7326,3649.6927,5.527398e-04,4.157119e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
64,2,3650.6184,3649.5785,5.441096e-04,4.092211e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
65,2,3650.5095,3649.4696,5.357446e-04,4.029299e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
66,2,3650.4054,3649.3656,5.276328e-04,3.968291e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
67,2,3650.3060,3649.2662,5.197630e-04,3.909102e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
68,2,3650.2110,3649.1712,5.121243e-04,3.851653e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
69,2,3650.1201,3649.0803,5.047069e-04,3.795867e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
70,2,3650.0330,3648.9932,4.975012e-04,3.741673e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
71,2,3649.9496,3648.9099,4.904983e-04,3.689005e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
72,2,3649.8696,3648.8299,4.836898e-04,3.637798e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
73,2,3649.7929,3648.7533,4.770676e-04,3.587993e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
74,2,3649.7193,3648.6797,4.706242e-04,3.539533e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
75,2,3649.6487,3648.6090,4.643526e-04,3.492364e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
76,2,3649.5808,3648.5412,4.582458e-04,3.446436e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
77,2,3649.5155,3648.4759,4.522976e-04,3.401700e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
78,2,3649.4527,3648.4132,4.465017e-04,3.358109e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
79,2,3649.3923,3648.3528,4.408525e-04,3.315622e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
80,2,3649.3342,3648.2946,4.353444e-04,3.274196e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
81,2,3649.2782,3648.2387,4.299723e-04,3.233792e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
82,2,3649.2242,3648.1847,4.247310e-04,3.194373e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
83,2,3649.1722,3648.1327,4.196160e-04,3.155903e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
84,2,3649.1220,3648.0825,4.146227e-04,3.118349e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
85,2,3649.0736,3648.0341,4.097468e-04,3.081678e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
86,2,3649.0269,3647.9874,4.049842e-04,3.045859e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
87,2,3648.9818,3647.9423,4.003310e-04,3.010863e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
88,2,3648.9382,3647.8987,3.957836e-04,2.976661e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
89,2,3648.8960,3647.8566,3.913382e-04,2.943228e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
90,2,3648.8553,3647.8158,3.869916e-04,2.910538e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
91,2,3648.8159,3647.7764,3.827405e-04,2.878565e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
92,2,3648.7777,3647.7383,3.785817e-04,2.847288e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
93,2,3648.7408,3647.7014,3.745124e-04,2.816682e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
94,2,3648.7051,3647.6657,3.705295e-04,2.786728e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
95,2,3648.6705,3647.6311,3.666305e-04,2.757403e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
96,2,3648.6370,3647.5976,3.628127e-04,2.728690e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
97,2,3648.6045,3647.5651,3.590735e-04,2.700568e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
