n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
6,2,4102.9350,4101.7771,2.842656e-01,2.437781e-01,storey_hummer95,15000.0,9.0,B,
7,2,3971.2359,3970.1125,1.842442e-01,1.580027e-01,storey_hummer95,15000.0,9.0,B,
8,2,3890.1903,3889.0881,1.291631e-01,1.107666e-01,storey_hummer95,15000.0,9.0,B,
9,2,3836.5107,3835.4225,9.634927e-02,8.262642e-02,storey_hummer95,15000.0,9.0,B,
10,2,3799.0139,3797.9355,7.525619e-02,6.453758e-02,storey_hummer95,15000.0,9.0,B,
11,2,3771.7390,3770.6676,6.022630e-02,5.164838e-02,storey_hummer95,15000.0,9.0,B,
12,2,3751.2549,3750.1889,4.868702e-02,4.175261e-02,storey_hummer95,15000.0,9.0,B,
13,2,3735.4668,3734.4049,3.957088e-02,3.393487e-02,storey_hummer95,15000.0,9.0,B,
14,2,3723.0336,3721.9750,3.236550e-02,2.775574e-02,storey_hummer95,15000.0,9.0,B,
15,2,3713.0634,3712.0073,2.667592e-02,2.287651e-02,storey_hummer95,15000.0,9.0,B,
16,2,3704.9431,3703.8891,2.216055e-02,1.900426e-02,storey_hummer95,15000.0,9.0,B,
17,2,3698.2401,3697.1878,1.856319e-02,1.591927e-02,storey_hummer95,15000.0,9.0,B,
18,2,3692.6415,3691.5908,1.568104e-02,1.344762e-02,storey_hummer95,15000.0,9.0,B,
19,2,3687.9167,3686.8672,1.334330e-02,1.144283e-02,storey_hummer95,15000.0,9.0,B,
20,2,3683.8923,3682.8438,1.145389e-02,9.822529e-03,storey_hummer95,15000.0,9.0,B,
21,2,3680.4360,3679.3884,9.892186e-03,8.483259e-03,storey_hummer95,15000.0,9.0,B,
22,2,3677.4455,3676.3986,8.600555e-03,7.375593e-03,storey_hummer95,15000.0,9.0,B,
23,2,3674.8404,3673.7943,7.523484e-03,6.451928e-03,storey_hummer95,15000.0,9.0,B,
24,2,3672.5572,3671.5117,6.618275e-03,5.675646e-03,storey_hummer95,15000.0,9.0,B,
25,2,3670.5449,3669.4998,5.851836e-03,5.018369e-03,storey_hummer95,15000.0,9.0,B,
26,2,3668.7620,3667.7174,5.198548e-03,4.458128e-03,storey_hummer95,15000.0,9.0,B,
27,2,3667.1750,3666.1309,4.639197e-03,3.978445e-03,storey_hummer95,15000.0,9.0,B,
28,2,3665.7562,3664.7124,4.156704e-03,3.564672e-03,storey_hummer95,15000.0,9.0,B,
29,2,3664.4825,3663.4391,3.739325e-03,3.206740e-03,storey_hummer95,15000.0,9.0,B,
30,2,3663.3349,3662.2917,3.376388e-03,2.895495e-03,storey_hummer95,15000.0,9.0,B,
31,2,3662.2971,3661.2541,3.058284e-03,2.622698e-03,storey_hummer95,15000.0,9.0,B,
32,2,3661.3555,3660.3129,2.778608e-03,2.382856e-03,storey_hummer95,15000.0,9.0,B,
33,2,3660.4987,3659.4563,2.533091e-03,2.172308e-03,storey_hummer95,15000.0,9.0,B,
34,2,3659.7167,3658.6745,2.315329e-03,1.985561e-03,storey_hummer95,15000.0,9.0,B,
35,2,3659.0011,3657.9591,2.121050e-03,1.818953e-03,storey_hummer95,15000.0,9.0,B,
36,2,3658.3446,3657.3027,1.948121e-03,1.670654e-03,storey_hummer95,15000.0,9.0,B,
37,2,3657.7407,3656.6990,1.794406e-03,1.538832e-03,storey_hummer95,15000.0,9.0,B,
38,2,3657.1841,3656.1425,1.655636e-03,1.419827e-03,storey_hummer95,15000.0,9.0,B,
39,2,3656.6699,3655.6284,1.530743e-03,1.312722e-03,storey_hummer95,15000.0,9.0,B,
40,2,3656.1939,3655.1525,1.418659e-03,1.216602e-03,storey_hummer95,15000.0,9.0,B,
41,2,3655.7524,3654.7111,1.317250e-03,1.129637e-03,storey_hummer95,15000.0,9.0,B,
42,2,3655.3421,3654.3010,1.224381e-03,1.049994e-03,storey_hummer95,15000.0,9.0,B,
43,2,3654.9603,3653.9192,1.141119e-03,9.785912e-04,storey_hummer95,15000.0,9.0,B,
44,2,3654.6042,3653.5633,1.064795e-03,9.131382e-04,storey_hummer95,15000.0,9.0,B,
45,2,3654.2717,3653.2308,9.951964e-04,8.534523e-04,storey_hummer95,15000.0,9.0,B,
46,2,3653.9607,3652.9199,9.314688e-04,7.988014e-04,storey_hummer95,15000.0,9.0,B,
47,2,3653.6693,3652.6287,8.731853e-04,7.488191e-04,storey_hummer95,15000.0,9.0,B,
48,2,3653.3961,3652.3555,8.195986e-04,7.028646e-04,storey_hummer95,15000.0,9.0,B,
49,2,3653.1394,3652.0989,7.702818e-04,6.605719e-04,storey_hummer95,15000.0,9.0,B,
50,2,3652.8980,3651.8575,7.249146e-04,6.216663e-04,storey_hummer95,15000.0,9.0,B,
51,2,3652.6707,3651.6303,6.829867e-04,5.857101e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
52,2,3652.4564,3651.4160,6.442556e-04,5.524954e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
53,2,3652.2542,3651.2138,6.084005e-04,5.217471e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
54,2,3652.0631,3651.0228,5.751593e-04,4.932403e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
55,2,3651.8823,3650.8421,5.442979e-04,4.667745e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
56,2,3651.7112,3650.6710,5.156071e-04,4.421701e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
57,2,3651.5490,3650.5088,4.888993e-04,4.192662e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
58,2,3651.3951,3650.3550,4.640060e-04,3.979184e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
59,2,3651.2490,3650.2089,4.407756e-04,3.779967e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
60,2,3651.1102,3650.0701,4.190714e-04,3.593838e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
61,2,3650.9781,3649.9381,3.987702e-04,3.419741e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
62,2,3650.8524,3649.8124,3.797603e-04,3.256717e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
63,2,3650.7326,3649.6927,3.619406e-04,3.103901e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
64,2,3650.6184,3649.5785,3.452194e-04,2.960504e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
65,2,3650.5095,3649.4696,3.295133e-04,2.825813e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
66,2,3650.4054,3649.3656,3.147463e-04,2.699175e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
67,2,3650.3060,3649.2662,3.008493e-04,2.579999e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
68,2,3650.2110,3649.1712,2.877592e-04,2.467741e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
69,2,3650.1201,3649.0803,2.754181e-04,2.361908e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
70,2,3650.0330,3648.9932,2.637732e-04,2.262045e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
71,2,3649.9496,3648.9099,2.527762e-04,2.167737e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
72,2,3649.8696,3648.8299,2.423825e-04,2.078604e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
73,2,3649.7929,3648.7533,2.325513e-04,1.994294e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
74,2,3649.7193,3648.6797,2.232451e-04,1.914487e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
75,2,3649.6487,3648.6090,2.144292e-04,1.838884e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
76,2,3649.5808,3648.5412,2.060718e-04,1.767214e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
77,2,3649.5155,3648.4759,1.981435e-04,1.699223e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
78,2,3649.4527,3648.4132,1.906170e-04,1.634677e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
79,2,3649.3923,3648.3528,1.834672e-04,1.573363e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
80,2,3649.3342,3648.2946,1.766708e-04,1.515079e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
81,2,3649.2782,3648.2387,1.702062e-04,1.459640e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
82,2,3649.2242,3648.1847,1.640535e-04,1.406876e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
83,2,3649.1722,3648.1327,1.581940e-04,1.356627e-04,extrapolated_asymptotic_fit,15000.0,9.0,B,
