n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
7,2,3971.2359,3970.1125,2.091664e-01,2.041673e-01,storey_hummer95,15000.0,10.0,B,
8,2,3890.1903,3889.0881,1.540039e-01,1.503232e-01,storey_hummer95,15000.0,10.0,B,
9,2,3836.5107,3835.4225,1.157593e-01,1.129926e-01,storey_hummer95,15000.0,10.0,B,
10,2,3799.0139,3797.9355,8.760381e-02,8.551006e-02,storey_hummer95,15000.0,10.0,B,
11,2,3771.7390,3770.6676,6.700502e-02,6.540359e-02,storey_hummer95,15000.0,10.0,B,
12,2,3751.2549,3750.1889,5.197375e-02,5.073156e-02,storey_hummer95,15000.0,10.0,B,
13,2,3735.4668,3734.4049,4.095150e-02,3.997275e-02,storey_hummer95,15000.0,10.0,B,
14,2,3723.0336,3721.9750,3.275915e-02,3.197620e-02,storey_hummer95,15000.0,10.0,B,
15,2,3713.0634,3712.0073,2.658669e-02,2.595126e-02,storey_hummer95,15000.0,10.0,B,
16,2,3704.9431,3703.8891,2.184969e-02,2.132747e-02,storey_hummer95,15000.0,10.0,B,
17,2,3698.2401,3697.1878,1.816877e-02,1.773453e-02,storey_hummer95,15000.0,10.0,B,
18,2,3692.6415,3691.5908,1.526710e-02,1.490221e-02,storey_hummer95,15000.0,10.0,B,
19,2,3687.9167,3686.8672,1.296011e-02,1.265036e-02,storey_hummer95,15000.0,10.0,B,
20,2,3683.8923,3682.8438,1.108377e-02,1.081886e-02,storey_hummer95,15000.0,10.0,B,
21,2,3680.4360,3679.3884,9.558085e-03,9.329644e-03,storey_hummer95,15000.0,10.0,B,
22,2,3677.4455,3676.3986,8.298985e-03,8.100637e-03,storey_hummer95,15000.0,10.0,B,
23,2,3674.8404,3673.7943,7.252128e-03,7.078800e-03,storey_hummer95,15000.0,10.0,B,
24,2,3672.5572,3671.5117,6.374449e-03,6.222098e-03,storey_hummer95,15000.0,10.0,B,
25,2,3670.5449,3669.4998,5.633139e-03,5.498505e-03,storey_hummer95,15000.0,10.0,B,
26,2,3668.7620,3667.7174,5.002563e-03,4.883001e-03,storey_hummer95,15000.0,10.0,B,
27,2,3667.1750,3666.1309,4.462217e-03,4.355569e-03,storey_hummer95,15000.0,10.0,B,
28,2,3665.7562,3664.7124,3.997744e-03,3.902197e-03,storey_hummer95,15000.0,10.0,B,
29,2,3664.4825,3663.4391,3.595817e-03,3.509876e-03,storey_hummer95,15000.0,10.0,B,
30,2,3663.3349,3662.2917,3.245155e-03,3.167595e-03,storey_hummer95,15000.0,10.0,B,
31,2,3662.2971,3661.2541,2.939608e-03,2.869351e-03,storey_hummer95,15000.0,10.0,B,
32,2,3661.3555,3660.3129,2.670973e-03,2.607136e-03,storey_hummer95,15000.0,10.0,B,
33,2,3660.4987,3659.4563,2.434123e-03,2.375947e-03,storey_hummer95,15000.0,10.0,B,
34,2,3659.7167,3658.6745,2.223931e-03,2.170779e-03,storey_hummer95,15000.0,10.0,B,
35,2,3659.0011,3657.9591,2.038347e-03,1.989630e-03,storey_hummer95,15000.0,10.0,B,
36,2,3658.3446,3657.3027,1.872244e-03,1.827497e-03,storey_hummer95,15000.0,10.0,B,
37,2,3657.7407,3656.6990,1.723572e-03,1.682378e-03,storey_hummer95,15000.0,10.0,B,
38,2,3657.1841,3656.1425,1.590280e-03,1.552272e-03,storey_hummer95,15000.0,10.0,B,
39,2,3656.6699,3655.6284,1.471342e-03,1.436177e-03,storey_hummer95,15000.0,10.0,B,
40,2,3656.1939,3655.1525,1.362658e-03,1.330090e-03,storey_hummer95,15000.0,10.0,B,
41,2,3655.7524,3654.7111,1.265252e-03,1.235012e-03,storey_hummer95,15000.0,10.0,B,
42,2,3655.3421,3654.3010,1.177074e-03,1.148941e-03,storey_hummer95,15000.0,10.0,B,
43,2,3654.9603,3653.9192,1.096073e-03,1.069877e-03,storey_hummer95,15000.0,10.0,B,
44,2,3654.6042,3653.5633,1.022865e-03,9.984180e-04,storey_hummer95,15000.0,10.0,B,
45,2,3654.2717,3653.2308,9.560135e-04,9.331645e-04,storey_hummer95,15000.0,10.0,B,
46,2,3653.9607,3652.9199,8.948016e-04,8.734156e-04,storey_hummer95,15000.0,10.0,B,
47,2,3653.6693,3652.6287,8.387163e-04,8.186707e-04,storey_hummer95,15000.0,10.0,B,
48,2,3653.3961,3652.3555,7.872450e-04,7.684296e-04,storey_hummer95,15000.0,10.0,B,
49,2,3653.1394,3652.0989,7.398749e-04,7.221917e-04,storey_hummer95,15000.0,10.0,B,
50,2,3652.8980,3651.8575,6.962986e-04,6.796568e-04,storey_hummer95,15000.0,10.0,B,
51,2,3652.6707,3651.6303,6.826615e-04,6.663457e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
52,2,3652.4564,3651.4160,6.695480e-04,6.535456e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
53,2,3652.2542,3651.2138,6.569286e-04,6.412278e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
54,2,3652.0631,3651.0228,6.447758e-04,6.293655e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
55,2,3651.8823,3650.8421,6.330643e-04,6.179338e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
56,2,3651.7112,3650.6710,6.217704e-04,6.069099e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
57,2,3651.5490,3650.5088,6.108722e-04,5.962722e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
58,2,3651.3951,3650.3550,6.003493e-04,5.860008e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
59,2,3651.2490,3650.2089,5.901827e-04,5.760772e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
60,2,3651.1102,3650.0701,5.803545e-04,5.664839e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
61,2,3650.9781,3649.9381,5.708482e-04,5.572048e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
62,2,3650.8524,3649.8124,5.616481e-04,5.482246e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
63,2,3650.7326,3649.6927,5.527398e-04,5.395292e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
64,2,3650.6184,3649.5785,5.441096e-04,5.311052e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
65,2,3650.5095,3649.4696,5.357446e-04,5.229401e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
66,2,3650.4054,3649.3656,5.276328e-04,5.150223e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
67,2,3650.3060,3649.2662,5.197630e-04,5.073405e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
68,2,3650.2110,3649.1712,5.121243e-04,4.998844e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
69,2,3650.1201,3649.0803,5.047069e-04,4.926443e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
70,2,3650.0330,3648.9932,4.975012e-04,4.856108e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
71,2,3649.9496,3648.9099,4.904983e-04,4.787753e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
72,2,3649.8696,3648.8299,4.836898e-04,4.721294e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
73,2,3649.7929,3648.7533,4.770676e-04,4.656655e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
74,2,3649.7193,3648.6797,4.706242e-04,4.593762e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
75,2,3649.6487,3648.6090,4.643526e-04,4.532544e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
76,2,3649.5808,3648.5412,4.582458e-04,4.472936e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
77,2,3649.5155,3648.4759,4.522976e-04,4.414875e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
78,2,3649.4527,3648.4132,4.465017e-04,4.358302e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
79,2,3649.3923,3648.3528,4.408525e-04,4.303160e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
80,2,3649.3342,3648.2946,4.353444e-04,4.249396e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
81,2,3649.2782,3648.2387,4.299723e-04,4.196958e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
82,2,3649.2242,3648.1847,4.247310e-04,4.145798e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
83,2,3649.1722,3648.1327,4.196160e-04,4.095870e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
84,2,3649.1220,3648.0825,4.146227e-04,4.047131e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
85,2,3649.0736,3648.0341,4.097468e-04,3.999537e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
86,2,3649.0269,3647.9874,4.049842e-04,3.953050e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
87,2,3648.9818,3647.9423,4.003310e-04,3.907630e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
88,2,3648.9382,3647.8987,3.957836e-04,3.863242e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
89,2,3648.8960,3647.8566,3.913382e-04,3.819851e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
90,2,3648.8553,3647.8158,3.869916e-04,3.777424e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
91,2,3648.8159,3647.7764,3.827405e-04,3.735929e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
92,2,3648.7777,3647.7383,3.785817e-04,3.695335e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
93,2,3648.7408,3647.7014,3.745124e-04,3.655614e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
94,2,3648.7051,3647.6657,3.705295e-04,3.616738e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
95,2,3648.6705,3647.6311,3.666305e-04,3.578679e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
96,2,3648.6370,3647.5976,3.628127e-04,3.541413e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
97,2,3648.6045,3647.5651,3.590735e-04,3.504916e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
98,2,3648.5730,3647.5336,3.554106e-04,3.469162e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
99,2,3648.5424,3647.5031,3.518217e-04,3.434131e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
100,2,3648.5128,3647.4734,3.483045e-04,3.399800e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
101,2,3648.4840,3647.4447,3.448570e-04,3.366148e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
102,2,3648.4561,3647.4167,3.414770e-04,3.333156e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
103,2,3648.4290,3647.3896,3.381626e-04,3.300804e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
104,2,3648.4026,3647.3633,3.349120e-04,3.269075e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
105,2,3648.3770,3647.3377,3.317232e-04,3.237949e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
106,2,3648.3522,3647.3129,3.285945e-04,3.207410e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
107,2,3648.3280,3647.2887,3.255244e-04,3.177442e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
108,2,3648.3045,3647.2652,3.225110e-04,3.148029e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
109,2,3648.2816,3647.2424,3.195529e-04,3.119155e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
110,2,3648.2594,3647.2201,3.166486e-04,3.090806e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
111,2,3648.2378,3647.1985,3.137966e-04,3.062968e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
112,2,3648.2167,3647.1774,3.109955e-04,3.035626e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
113,2,3648.1962,3647.1569,3.082440e-04,3.008769e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
114,2,3648.1762,3647.1370,3.055407e-04,2.982382e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
115,2,3648.1568,3647.1175,3.028844e-04,2.956454e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
116,2,3648.1378,3647.0986,3.002739e-04,2.930973e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
117,2,3648.1194,3647.0801,2.977081e-04,2.905927e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
118,2,3648.1014,3647.0621,2.951856e-04,2.881306e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
119,2,3648.0838,3647.0446,2.927056e-04,2.857099e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
