n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
6,2,4102.9350,4101.7771,2.842656e-01,2.322986e-01,storey_hummer95,15000.0,9.0,B,
7,2,3971.2359,3970.1125,1.842442e-01,1.505623e-01,storey_hummer95,15000.0,9.0,B,
8,2,3890.1903,3889.0881,1.291631e-01,1.055506e-01,storey_hummer95,15000.0,9.0,B,
9,2,3836.5107,3835.4225,9.634927e-02,7.873553e-02,storey_hummer95,15000.0,9.0,B,
10,2,3799.0139,3797.9355,7.525619e-02,6.149850e-02,storey_hummer95,15000.0,9.0,B,
11,2,3771.7390,3770.6676,6.022630e-02,4.921625e-02,storey_hummer95,15000.0,9.0,B,
12,2,3751.2549,3750.1889,4.868702e-02,3.978648e-02,storey_hummer95,15000.0,9.0,B,
13,2,3735.4668,3734.4049,3.957088e-02,3.233687e-02,storey_hummer95,15000.0,9.0,B,
14,2,3723.0336,3721.9750,3.236550e-02,2.644872e-02,storey_hummer95,15000.0,9.0,B,
15,2,3713.0634,3712.0073,2.667592e-02,2.179926e-02,storey_hummer95,15000.0,9.0,B,
16,2,3704.9431,3703.8891,2.216055e-02,1.810935e-02,storey_hummer95,15000.0,9.0,B,
17,2,3698.2401,3697.1878,1.856319e-02,1.516963e-02,storey_hummer95,15000.0,9.0,B,
18,2,3692.6415,3691.5908,1.568104e-02,1.281437e-02,storey_hummer95,15000.0,9.0,B,
19,2,3687.9167,3686.8672,1.334330e-02,1.090399e-02,storey_hummer95,15000.0,9.0,B,
20,2,3683.8923,3682.8438,1.145389e-02,9.359985e-03,storey_hummer95,15000.0,9.0,B,
21,2,3680.4360,3679.3884,9.892186e-03,8.083782e-03,storey_hummer95,15000.0,9.0,B,
22,2,3677.4455,3676.3986,8.600555e-03,7.028276e-03,storey_hummer95,15000.0,9.0,B,
23,2,3674.8404,3673.7943,7.523484e-03,6.148106e-03,storey_hummer95,15000.0,9.0,B,
24,2,3672.5572,3671.5117,6.618275e-03,5.408379e-03,storey_hummer95,15000.0,9.0,B,
25,2,3670.5449,3669.4998,5.851836e-03,4.782054e-03,storey_hummer95,15000.0,9.0,B,
26,2,3668.7620,3667.7174,5.198548e-03,4.248194e-03,storey_hummer95,15000.0,9.0,B,
27,2,3667.1750,3666.1309,4.639197e-03,3.791099e-03,storey_hummer95,15000.0,9.0,B,
28,2,3665.7562,3664.7124,4.156704e-03,3.396811e-03,storey_hummer95,15000.0,9.0,B,
29,2,3664.4825,3663.4391,3.739325e-03,3.055734e-03,storey_hummer95,15000.0,9.0,B,
30,2,3663.3349,3662.2917,3.376388e-03,2.759146e-03,storey_hummer95,15000.0,9.0,B,
31,2,3662.2971,3661.2541,3.058284e-03,2.499194e-03,storey_hummer95,15000.0,9.0,B,
32,2,3661.3555,3660.3129,2.778608e-03,2.270647e-03,storey_hummer95,15000.0,9.0,B,
33,2,3660.4987,3659.4563,2.533091e-03,2.070013e-03,storey_hummer95,15000.0,9.0,B,
34,2,3659.7167,3658.6745,2.315329e-03,1.892060e-03,storey_hummer95,15000.0,9.0,B,
35,2,3659.0011,3657.9591,2.121050e-03,1.733298e-03,storey_hummer95,15000.0,9.0,B,
36,2,3658.3446,3657.3027,1.948121e-03,1.591982e-03,storey_hummer95,15000.0,9.0,B,
37,2,3657.7407,3656.6990,1.794406e-03,1.466369e-03,storey_hummer95,15000.0,9.0,B,
38,2,3657.1841,3656.1425,1.655636e-03,1.352967e-03,storey_hummer95,15000.0,9.0,B,
39,2,3656.6699,3655.6284,1.530743e-03,1.250906e-03,storey_hummer95,15000.0,9.0,B,
40,2,3656.1939,3655.1525,1.418659e-03,1.159312e-03,storey_hummer95,15000.0,9.0,B,
41,2,3655.7524,3654.7111,1.317250e-03,1.076442e-03,storey_hummer95,15000.0,9.0,B,
42,2,3655.3421,3654.3010,1.224381e-03,1.000550e-03,storey_hummer95,15000.0,9.0,B,
43,2,3654.9603,3653.9192,1.141119e-03,9.325092e-04,storey_hummer95,15000.0,9.0,B,
44,2,3654.6042,3653.5633,1.064795e-03,8.701384e-04,storey_hummer95,15000.0,9.0,B,
45,2,3654.2717,3653.2308,9.951964e-04,8.132632e-04,storey_hummer95,15000.0,9.0,B,
46,2,3653.9607,3652.9199,9.314688e-04,7.611857e-04,storey_hummer95,15000.0,9.0,B,
47,2,3653.6693,3652.6287,8.731853e-04,7.135571e-04,storey_hummer95,15000.0,9.0,B,
48,2,3653.3961,3652.3555,8.195986e-04,6.697667e-04,storey_hummer95,15000.0,9.0,B,
49,2,3653.1394,3652.0989,7.702818e-04,6.294655e-04,storey_hummer95,15000.0,9.0,B,
50,2,3652.8980,3651.8575,7.249146e-04,5.923919e-04,storey_hummer95,15000.0,9.0,B,
51,2,3652.6707,3651.6303,7.107171e-04,5.807899e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
52,2,3652.4564,3651.4160,6.970647e-04,5.696333e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
53,2,3652.2542,3651.2138,6.839266e-04,5.588970e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
54,2,3652.0631,3651.0228,6.712744e-04,5.485578e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
55,2,3651.8823,3650.8421,6.590815e-04,5.385939e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
56,2,3651.7112,3650.6710,6.473235e-04,5.289854e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
57,2,3651.5490,3650.5088,6.359774e-04,5.197135e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
58,2,3651.3951,3650.3550,6.250221e-04,5.107609e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
59,2,3651.2490,3650.2089,6.144377e-04,5.021114e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
60,2,3651.1102,3650.0701,6.042056e-04,4.937499e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
61,2,3650.9781,3649.9381,5.943085e-04,4.856622e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
62,2,3650.8524,3649.8124,5.847304e-04,4.778350e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
63,2,3650.7326,3649.6927,5.754560e-04,4.702561e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
64,2,3650.6184,3649.5785,5.664710e-04,4.629137e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
65,2,3650.5095,3649.4696,5.577623e-04,4.557970e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
66,2,3650.4054,3649.3656,5.493171e-04,4.488957e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
67,2,3650.3060,3649.2662,5.411238e-04,4.422002e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
68,2,3650.2110,3649.1712,5.331713e-04,4.357015e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
69,2,3650.1201,3649.0803,5.254490e-04,4.293909e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
70,2,3650.0330,3648.9932,5.179472e-04,4.232605e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
71,2,3649.9496,3648.9099,5.106565e-04,4.173027e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
72,2,3649.8696,3648.8299,5.035681e-04,4.115101e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
73,2,3649.7929,3648.7533,4.966738e-04,4.058762e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
74,2,3649.7193,3648.6797,4.899656e-04,4.003943e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
75,2,3649.6487,3648.6090,4.834362e-04,3.950586e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
76,2,3649.5808,3648.5412,4.770785e-04,3.898631e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
77,2,3649.5155,3648.4759,4.708858e-04,3.848025e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
78,2,3649.4527,3648.4132,4.648518e-04,3.798716e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
79,2,3649.3923,3648.3528,4.589704e-04,3.750654e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
80,2,3649.3342,3648.2946,4.532359e-04,3.703792e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
81,2,3649.2782,3648.2387,4.476430e-04,3.658087e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
82,2,3649.2242,3648.1847,4.421863e-04,3.613496e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
83,2,3649.1722,3648.1327,4.368611e-04,3.569979e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
84,2,3649.1220,3648.0825,4.316626e-04,3.527497e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
85,2,3649.0736,3648.0341,4.265863e-04,3.486014e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
86,2,3649.0269,3647.9874,4.216280e-04,3.445496e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
87,2,3648.9818,3647.9423,4.167836e-04,3.405908e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
88,2,3648.9382,3647.8987,4.120492e-04,3.367219e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
89,2,3648.8960,3647.8566,4.074212e-04,3.329400e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
90,2,3648.8553,3647.8158,4.028960e-04,3.292420e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
91,2,3648.8159,3647.7764,3.984701e-04,3.256252e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
92,2,3648.7777,3647.7383,3.941404e-04,3.220871e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
93,2,3648.7408,3647.7014,3.899038e-04,3.186250e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
94,2,3648.7051,3647.6657,3.857573e-04,3.152365e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
95,2,3648.6705,3647.6311,3.816980e-04,3.119193e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
96,2,3648.6370,3647.5976,3.777233e-04,3.086712e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
97,2,3648.6045,3647.5651,3.738305e-04,3.054900e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
98,2,3648.5730,3647.5336,3.700171e-04,3.023737e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
99,2,3648.5424,3647.5031,3.662807e-04,2.993204e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
100,2,3648.5128,3647.4734,3.626189e-04,2.963281e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
101,2,3648.4840,3647.4447,3.590297e-04,2.933950e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
102,2,3648.4561,3647.4167,3.555108e-04,2.905194e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
103,2,3648.4290,3647.3896,3.520602e-04,2.876996e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
104,2,3648.4026,3647.3633,3.486759e-04,2.849340e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
105,2,3648.3770,3647.3377,3.453561e-04,2.822211e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
106,2,3648.3522,3647.3129,3.420989e-04,2.795593e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
107,2,3648.3280,3647.2887,3.389025e-04,2.769473e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
108,2,3648.3045,3647.2652,3.357654e-04,2.743836e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
109,2,3648.2816,3647.2424,3.326857e-04,2.718670e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
110,2,3648.2594,3647.2201,3.296620e-04,2.693961e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
111,2,3648.2378,3647.1985,3.266928e-04,2.669697e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
112,2,3648.2167,3647.1774,3.237766e-04,2.645866e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
113,2,3648.1962,3647.1569,3.209120e-04,2.622456e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
114,2,3648.1762,3647.1370,3.180976e-04,2.599458e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
115,2,3648.1568,3647.1175,3.153322e-04,2.576859e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
116,2,3648.1378,3647.0986,3.126144e-04,2.554649e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
117,2,3648.1194,3647.0801,3.099431e-04,2.532819e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
118,2,3648.1014,3647.0621,3.073170e-04,2.511359e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
119,2,3648.0838,3647.0446,3.047350e-04,2.490260e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
120,2,3648.0667,3647.0275,3.021961e-04,2.469512e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
121,2,3648.0500,3647.0108,2.996991e-04,2.449107e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
122,2,3648.0338,3646.9945,2.972431e-04,2.429036e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
123,2,3648.0179,3646.9787,2.948269e-04,2.409292e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
124,2,3648.0024,3646.9632,2.924497e-04,2.389866e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
125,2,3647.9873,3646.9480,2.901106e-04,2.370751e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
126,2,3647.9725,3646.9333,2.878086e-04,2.351939e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
127,2,3647.9581,3646.9189,2.855428e-04,2.333423e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
128,2,3647.9440,3646.9048,2.833124e-04,2.315196e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
129,2,3647.9302,3646.8910,2.811165e-04,2.297252e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
130,2,3647.9168,3646.8776,2.789545e-04,2.279584e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
131,2,3647.9036,3646.8645,2.768254e-04,2.262186e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
132,2,3647.8908,3646.8516,2.747286e-04,2.245051e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
133,2,3647.8783,3646.8391,2.726633e-04,2.228174e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
134,2,3647.8660,3646.8268,2.706289e-04,2.211548e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
135,2,3647.8540,3646.8148,2.686245e-04,2.195169e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
136,2,3647.8423,3646.8031,2.666497e-04,2.179031e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
137,2,3647.8308,3646.7916,2.647036e-04,2.163128e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
138,2,3647.8196,3646.7804,2.627858e-04,2.147456e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
139,2,3647.8086,3646.7694,2.608955e-04,2.132009e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
140,2,3647.7978,3646.7587,2.590323e-04,2.116782e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
141,2,3647.7873,3646.7481,2.571954e-04,2.101772e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
142,2,3647.7770,3646.7378,2.553845e-04,2.086973e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
143,2,3647.7669,3646.7277,2.535988e-04,2.072381e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
144,2,3647.7570,3646.7179,2.518380e-04,2.057991e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
145,2,3647.7474,3646.7082,2.501014e-04,2.043800e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
146,2,3647.7379,3646.6987,2.483886e-04,2.029803e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
147,2,3647.7286,3646.6894,2.466991e-04,2.015997e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
148,2,3647.7195,3646.6804,2.450325e-04,2.002377e-04,extrapolated_k13_full_eq2,15000.0,9.0,B,
