n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
164,2,3647.5958,3646.5567,2.053753e-05,2.329000e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
165,2,3647.5893,3646.5502,2.016691e-05,2.286971e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
166,2,3647.5828,3646.5437,1.980517e-05,2.245949e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
167,2,3647.5765,3646.5374,1.945203e-05,2.205902e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
168,2,3647.5703,3646.5312,1.910725e-05,2.166803e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
169,2,3647.5642,3646.5251,1.877057e-05,2.128623e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
170,2,3647.5582,3646.5191,1.844176e-05,2.091335e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
171,2,3647.5523,3646.5132,1.812060e-05,2.054914e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
172,2,3647.5465,3646.5075,1.780685e-05,2.019335e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
173,2,3647.5409,3646.5018,1.750031e-05,1.984572e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
174,2,3647.5353,3646.4962,1.720077e-05,1.950604e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
175,2,3647.5298,3646.4907,1.690803e-05,1.917407e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
176,2,3647.5244,3646.4853,1.662191e-05,1.884960e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
177,2,3647.5191,3646.4800,1.634220e-05,1.853241e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
178,2,3647.5139,3646.4748,1.606875e-05,1.822230e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
179,2,3647.5087,3646.4696,1.580136e-05,1.791908e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
180,2,3647.5037,3646.4646,1.553988e-05,1.762256e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
181,2,3647.4987,3646.4596,1.528414e-05,1.733254e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
182,2,3647.4938,3646.4548,1.503399e-05,1.704887e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
183,2,3647.4890,3646.4500,1.478927e-05,1.677135e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
184,2,3647.4843,3646.4452,1.454984e-05,1.649982e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
185,2,3647.4797,3646.4406,1.431555e-05,1.623414e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
186,2,3647.4751,3646.4360,1.408627e-05,1.597413e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
187,2,3647.4706,3646.4315,1.386186e-05,1.571964e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
