n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
6,2,4102.9350,4101.7771,2.842656e-01,2.474847e-01,storey_hummer95,15000.0,9.0,B,
7,2,3971.2359,3970.1125,1.842442e-01,1.604051e-01,storey_hummer95,15000.0,9.0,B,
8,2,3890.1903,3889.0881,1.291631e-01,1.124508e-01,storey_hummer95,15000.0,9.0,B,
9,2,3836.5107,3835.4225,9.634927e-02,8.388274e-02,storey_hummer95,15000.0,9.0,B,
10,2,3799.0139,3797.9355,7.525619e-02,6.551887e-02,storey_hummer95,15000.0,9.0,B,
11,2,3771.7390,3770.6676,6.022630e-02,5.243368e-02,storey_hummer95,15000.0,9.0,B,
12,2,3751.2549,3750.1889,4.868702e-02,4.238746e-02,storey_hummer95,15000.0,9.0,B,
13,2,3735.4668,3734.4049,3.957088e-02,3.445084e-02,storey_hummer95,15000.0,9.0,B,
14,2,3723.0336,3721.9750,3.236550e-02,2.817776e-02,storey_hummer95,15000.0,9.0,B,
15,2,3713.0634,3712.0073,2.667592e-02,2.322435e-02,storey_hummer95,15000.0,9.0,B,
16,2,3704.9431,3703.8891,2.216055e-02,1.929322e-02,storey_hummer95,15000.0,9.0,B,
17,2,3698.2401,3697.1878,1.856319e-02,1.616132e-02,storey_hummer95,15000.0,9.0,B,
18,2,3692.6415,3691.5908,1.568104e-02,1.365209e-02,storey_hummer95,15000.0,9.0,B,
19,2,3687.9167,3686.8672,1.334330e-02,1.161682e-02,storey_hummer95,15000.0,9.0,B,
20,2,3683.8923,3682.8438,1.145389e-02,9.971879e-03,storey_hummer95,15000.0,9.0,B,
21,2,3680.4360,3679.3884,9.892186e-03,8.612246e-03,storey_hummer95,15000.0,9.0,B,
22,2,3677.4455,3676.3986,8.600555e-03,7.487738e-03,storey_hummer95,15000.0,9.0,B,
23,2,3674.8404,3673.7943,7.523484e-03,6.550028e-03,storey_hummer95,15000.0,9.0,B,
24,2,3672.5572,3671.5117,6.618275e-03,5.761943e-03,storey_hummer95,15000.0,9.0,B,
25,2,3670.5449,3669.4998,5.851836e-03,5.094673e-03,storey_hummer95,15000.0,9.0,B,
26,2,3668.7620,3667.7174,5.198548e-03,4.525913e-03,storey_hummer95,15000.0,9.0,B,
27,2,3667.1750,3666.1309,4.639197e-03,4.038936e-03,storey_hummer95,15000.0,9.0,B,
28,2,3665.7562,3664.7124,4.156704e-03,3.618872e-03,storey_hummer95,15000.0,9.0,B,
29,2,3664.4825,3663.4391,3.739325e-03,3.255498e-03,storey_hummer95,15000.0,9.0,B,
30,2,3663.3349,3662.2917,3.376388e-03,2.939520e-03,storey_hummer95,15000.0,9.0,B,
31,2,3662.2971,3661.2541,3.058284e-03,2.662575e-03,storey_hummer95,15000.0,9.0,B,
32,2,3661.3555,3660.3129,2.778608e-03,2.419087e-03,storey_hummer95,15000.0,9.0,B,
33,2,3660.4987,3659.4563,2.533091e-03,2.205337e-03,storey_hummer95,15000.0,9.0,B,
34,2,3659.7167,3658.6745,2.315329e-03,2.015751e-03,storey_hummer95,15000.0,9.0,B,
35,2,3659.0011,3657.9591,2.121050e-03,1.846610e-03,storey_hummer95,15000.0,9.0,B,
36,2,3658.3446,3657.3027,1.948121e-03,1.696056e-03,storey_hummer95,15000.0,9.0,B,
37,2,3657.7407,3656.6990,1.794406e-03,1.562230e-03,storey_hummer95,15000.0,9.0,B,
38,2,3657.1841,3656.1425,1.655636e-03,1.441415e-03,storey_hummer95,15000.0,9.0,B,
39,2,3656.6699,3655.6284,1.530743e-03,1.332682e-03,storey_hummer95,15000.0,9.0,B,
40,2,3656.1939,3655.1525,1.418659e-03,1.235100e-03,storey_hummer95,15000.0,9.0,B,
41,2,3655.7524,3654.7111,1.317250e-03,1.146813e-03,storey_hummer95,15000.0,9.0,B,
42,2,3655.3421,3654.3010,1.224381e-03,1.065959e-03,storey_hummer95,15000.0,9.0,B,
43,2,3654.9603,3653.9192,1.141119e-03,9.934705e-04,storey_hummer95,15000.0,9.0,B,
44,2,3654.6042,3653.5633,1.064795e-03,9.270223e-04,storey_hummer95,15000.0,9.0,B,
45,2,3654.2717,3653.2308,9.951964e-04,8.664290e-04,storey_hummer95,15000.0,9.0,B,
46,2,3653.9607,3652.9199,9.314688e-04,8.109470e-04,storey_hummer95,15000.0,9.0,B,
47,2,3653.6693,3652.6287,8.731853e-04,7.602047e-04,storey_hummer95,15000.0,9.0,B,
48,2,3653.3961,3652.3555,8.195986e-04,7.135516e-04,storey_hummer95,15000.0,9.0,B,
49,2,3653.1394,3652.0989,7.702818e-04,6.706158e-04,storey_hummer95,15000.0,9.0,B,
50,2,3652.8980,3651.8575,7.249146e-04,6.311186e-04,storey_hummer95,15000.0,9.0,B,
