wave,flux,flux_norm
3650.909657782001,6.791e-29,0.0022819220430107525
3651.150919396432,7.216e-29,0.002424731182795699
3651.4074513770793,7.678e-29,0.00257997311827957
3651.6805709505556,8.18e-29,0.0027486559139784945
3651.971740591537,8.727e-29,0.0029324596774193547
3652.282587687945,9.324e-29,0.003133064516129032
3652.6149273861324,9.976e-29,0.0033521505376344087
3652.9707892180686,1.069e-28,0.0035920698924731182
3653.3524482439348,1.148e-28,0.0038575268817204298
3653.7624616076164,1.234e-28,0.004146505376344086
3654.2037116085708,1.329e-28,0.004465725806451613
3654.6794566534245,1.435e-28,0.0048219086021505375
3655.193391780465,1.551e-28,0.005211693548387096
3655.7497208711743,1.681e-28,0.005648521505376344
3656.353243203635,1.826e-28,0.006135752688172043
3657.0094577016366,1.988e-28,0.006680107526881721
3657.7246891431937,2.169e-28,0.007288306451612903
3658.5062417851423,2.374e-28,0.007977150537634408
3659.362587436724,2.605e-28,0.008753360215053763
3660.303597114626,2.867e-28,0.009633736559139785
3661.3408282328064,3.165e-28,0.01063508064516129
3662.487883105318,3.507e-28,0.011784274193548388
3663.7608597773933,3.899e-28,0.013101478494623656
3665.1789234458506,4.352e-28,0.014623655913978496
3666.7650368672253,4.879e-28,0.01639448924731183
3668.546902505585,5.494e-28,0.018461021505376343
3670.5581897584275,6.217e-28,0.02089045698924731
3672.840150537774,7.073e-28,0.023766801075268816
3675.4437706822955,8.094e-28,0.02719758064516129
3678.432671000758,9.322e-28,0.0313239247311828
3681.887073060151,1.081e-27,0.036323924731182795
3685.9093026357627,1.264e-27,0.04247311827956989
3690.631554858669,1.489e-27,0.05003360215053763
3696.227054292069,1.772e-27,0.05954301075268817
3702.926427763352,2.131e-27,0.07160618279569893
3711.0422874395867,2.593e-27,0.08713037634408602
3721.007123211415,3.195e-27,0.10735887096774194
3733.433492082993,3.994e-27,0.13420698924731184
3749.2130081103937,5.069e-27,0.1703293010752688
3769.6859186485085,6.535e-27,0.21959005376344087
3796.9460440932808,8.544e-27,0.28709677419354834
3834.422394658357,1.129e-26,0.37936827956989244
3888.0727491515195,1.502e-26,0.5047043010752689
3969.0742647588427,2.04e-26,0.6854838709677419
4100.701727620743,2.976e-26,1.0
