wave,flux,flux_norm
3650.909657782001,6.791e-29,0.002550131430717236
3651.150919396432,7.216e-29,0.0027097258730754787
3651.4074513770793,7.678e-29,0.002883214419827262
3651.6805709505556,8.18e-29,0.003071723619977469
3651.971740591537,8.726e-29,0.0032767555388659407
3652.282587687945,9.323e-29,0.003500938790837401
3652.6149273861324,9.975e-29,0.0037457754412316933
3652.9707892180686,1.069e-28,0.004014269620728502
3653.3524482439348,1.147e-28,0.004307172361997747
3653.7624616076164,1.234e-28,0.004633871573413444
3654.2037116085708,1.329e-28,0.004990612091625986
3654.6794566534245,1.434e-28,0.005384904243334585
3655.193391780465,1.551e-28,0.005824258355238452
3655.7497208711743,1.681e-28,0.006312429590687195
3656.353243203635,1.825e-28,0.006853173113030416
3657.0094577016366,1.987e-28,0.007461509575666541
3657.7246891431937,2.169e-28,0.00814494930529478
3658.5062417851423,2.373e-28,0.008911002628614344
3659.362587436724,2.603e-28,0.009774690199023656
3660.303597114626,2.865e-28,0.010758542996620353
3661.3408282328064,3.163e-28,0.011877581674802852
3662.487883105318,3.503e-28,0.013154337213668793
3663.7608597773933,3.894e-28,0.014622606083364626
3665.1789234458506,4.346e-28,0.016319939917386405
3666.7650368672253,4.87e-28,0.018287645512579796
3668.546902505585,5.482e-28,0.02058580548253849
3670.5581897584275,6.2e-28,0.023282012767555385
3672.840150537774,7.048e-28,0.02646639128802103
3675.4437706822955,8.057e-28,0.03025535110777319
3678.432671000758,9.267e-28,0.03479909876079609
3681.887073060151,1.073e-27,0.040292902741269246
3685.9093026357627,1.25e-27,0.04693954187007135
3690.631554858669,1.469e-27,0.055163349605707845
3696.227054292069,1.739e-27,0.06530229064964325
3702.926427763352,2.076e-27,0.07795719113781449
3711.0422874395867,2.499e-27,0.09384153210664663
3721.007123211415,3.032e-27,0.11385655276004505
3733.433492082993,3.707e-27,0.13920390536988358
3749.2130081103937,4.561e-27,0.17127300037551632
3769.6859186485085,5.642e-27,0.21186631618475402
3796.9460440932808,7.05e-27,0.2647390161472024
3834.422394658357,9.026e-27,0.3389410439354112
3888.0727491515195,1.21e-26,0.45437476530229065
3969.0742647588427,1.726e-26,0.648141194141945
4100.701727620743,2.663e-26,1.0
