wave,flux,flux_norm
3650.909657782001,6.791e-29,0.003328921568627451
3651.150919396432,7.216e-29,0.0035372549019607844
3651.4074513770793,7.678e-29,0.0037637254901960785
3651.6805709505556,8.18e-29,0.004009803921568628
3651.971740591537,8.727e-29,0.0042779411764705885
3652.282587687945,9.324e-29,0.004570588235294118
3652.6149273861324,9.976e-29,0.004890196078431373
3652.9707892180686,1.069e-28,0.005240196078431372
3653.3524482439348,1.148e-28,0.005627450980392157
3653.7624616076164,1.234e-28,0.006049019607843138
3654.2037116085708,1.329e-28,0.0065147058823529416
3654.6794566534245,1.435e-28,0.007034313725490196
3655.193391780465,1.551e-28,0.007602941176470588
3655.7497208711743,1.681e-28,0.008240196078431372
3656.353243203635,1.826e-28,0.008950980392156863
3657.0094577016366,1.988e-28,0.009745098039215687
3657.7246891431937,2.169e-28,0.010632352941176471
3658.5062417851423,2.374e-28,0.011637254901960785
3659.362587436724,2.605e-28,0.012769607843137255
3660.303597114626,2.867e-28,0.014053921568627451
3661.3408282328064,3.165e-28,0.015514705882352941
3662.487883105318,3.507e-28,0.017191176470588238
3663.7608597773933,3.899e-28,0.019112745098039216
3665.1789234458506,4.352e-28,0.021333333333333336
3666.7650368672253,4.879e-28,0.02391666666666667
3668.546902505585,5.494e-28,0.026931372549019606
3670.5581897584275,6.217e-28,0.030475490196078432
3672.840150537774,7.073e-28,0.03467156862745098
3675.4437706822955,8.094e-28,0.0396764705882353
3678.432671000758,9.322e-28,0.04569607843137255
3681.887073060151,1.081e-27,0.052990196078431376
3685.9093026357627,1.264e-27,0.061960784313725495
3690.631554858669,1.489e-27,0.07299019607843137
3696.227054292069,1.772e-27,0.08686274509803922
3702.926427763352,2.131e-27,0.10446078431372549
3711.0422874395867,2.593e-27,0.1271078431372549
3721.007123211415,3.195e-27,0.15661764705882353
3733.433492082993,3.994e-27,0.1957843137254902
3749.2130081103937,5.069e-27,0.24848039215686274
3769.6859186485085,6.535e-27,0.320343137254902
3796.9460440932808,8.544e-27,0.4188235294117647
3834.422394658357,1.129e-26,0.5534313725490195
3888.0727491515195,1.502e-26,0.7362745098039216
3969.0742647588427,2.04e-26,1.0
