lam,flux,err
3665.7975152736,7.947896e-16,1.03174397e-16
3668.657947179721,9.944345e-16,1.1284813e-16
3671.518379085842,7.2017457e-16,1.08639374e-16
3674.3788109919633,7.4987525e-16,1.07334467e-16
3677.2392428980843,8.5670596e-16,1.0781321e-16
3680.0996748042053,7.801928e-16,1.0530946e-16
3682.9601067103263,1.0279823e-15,1.0824659e-16
3685.8205386164477,9.023209e-16,1.05661636e-16
3688.6809705225687,7.973126e-16,1.039404e-16
3691.5414024286897,7.39115e-16,1.02638794e-16
3694.4018343348107,7.741586e-16,1.0173031e-16
3697.262266240932,7.785801e-16,1.0127958e-16
3700.122698147053,8.318076e-16,1.013043e-16
3702.983130053174,7.928386e-16,1.0029355e-16
3705.843561959295,7.95581e-16,1.0007098e-16
3708.7039938654166,8.3443916e-16,9.90822e-17
3711.5644257715376,7.455619e-16,9.7294724e-17
3714.4248576776586,8.2233114e-16,9.7815557e-17
3717.2852895837796,8.7165683e-16,9.717008e-17
3720.1457214899006,8.8234654e-16,9.683053e-17
3723.006153396022,7.776042e-16,9.569985e-17
3725.866585302143,8.3947185e-16,9.642487e-17
3728.727017208264,8.2481813e-16,9.5457384e-17
3731.587449114385,7.8550426e-16,9.4302256e-17
3734.4478810205064,7.7647807e-16,9.371198e-17
3737.3083129266274,7.746822e-16,9.279225e-17
3740.1687448327484,6.2002224e-16,9.046675e-17
3743.0291767388694,8.012135e-16,9.085335e-17
3745.889608644991,8.7381364e-16,9.110398e-17
3748.750040551112,8.1449243e-16,8.997394e-17
3751.610472457233,7.617376e-16,8.8552735e-17
3754.470904363354,7.314498e-16,8.717971e-17
3757.3313362694753,7.263089e-16,8.619539e-17
3760.1917681755963,7.9360714e-16,8.616897e-17
3763.0522000817173,7.4562796e-16,8.551802e-17
3765.9126319878383,6.541373e-16,8.330354e-17
3768.7730638939593,7.267917e-16,8.336593e-17
3771.6334958000807,7.847077e-16,8.3763525e-17
3774.4939277062017,6.83606e-16,8.2570783e-17
3777.3543596123227,7.0615003e-16,8.242909e-17
3780.2147915184437,6.743355e-16,8.178142e-17
3783.075223424565,6.5737486e-16,8.103738e-17
3785.935655330686,6.537618e-16,8.00437e-17
3788.796087236807,6.4879314e-16,7.944951e-17
3791.656519142928,6.5437504e-16,7.8247415e-17
3794.5169510490496,6.935853e-16,7.8302703e-17
3797.3773829551706,7.0269705e-16,7.835017e-17
3800.2378148612916,6.5446927e-16,7.770432e-17
3803.0982467674125,6.651845e-16,7.698877e-17
3805.958678673534,5.897563e-16,7.5499044e-17
3808.819110579655,7.1325955e-16,7.642315e-17
3811.679542485776,6.600417e-16,7.547146e-17
3814.539974391897,6.323426e-16,7.574094e-17
3817.4004062980184,6.9116994e-16,7.4652944e-17
3820.2608382041394,6.6801624e-16,7.470686e-17
3823.1212701102604,6.982737e-16,7.46492e-17
3825.9817020163814,7.213156e-16,7.4200046e-17
3828.8421339225024,7.328308e-16,7.398241e-17
3831.702565828624,6.3023164e-16,7.21136e-17
3834.562997734745,7.6430043e-16,7.315014e-17
3837.423429640866,7.249194e-16,7.2307107e-17
3840.283861546987,7.25101e-16,7.143834e-17
3843.1442934531083,8.4192587e-16,7.24569e-17
3846.0047253592293,7.918532e-16,7.1873737e-17
3848.8651572653503,6.623313e-16,6.959585e-17
3851.7255891714713,6.637815e-16,6.9319264e-17
3854.5860210775927,6.9456056e-16,6.906306e-17
3857.4464529837137,7.524857e-16,6.9150314e-17
3860.3068848898347,5.862509e-16,6.7435105e-17
3863.1673167959557,6.3954815e-16,6.714074e-17
3866.0277487020767,7.418825e-16,6.798073e-17
3868.888180608198,7.06678e-16,6.719229e-17
3871.748612514319,6.741429e-16,6.6564865e-17
3874.60904442044,7.1168725e-16,6.660917e-17
3877.469476326561,7.130232e-16,6.6272506e-17
3880.3299082326826,6.168014e-16,6.4323675e-17
3883.1903401388035,5.884048e-16,6.278025e-17
3886.0507720449245,6.9087305e-16,6.4082304e-17
3888.9112039510455,6.0104134e-16,6.294253e-17
3891.771635857167,6.519765e-16,6.3433854e-17
3894.632067763288,7.082915e-16,6.3813556e-17
3897.492499669409,7.886195e-16,6.457397e-17
3900.35293157553,7.0442336e-16,6.4115855e-17
3903.2133634816514,7.453302e-16,6.334284e-17
3906.0737953877724,7.5638396e-16,6.340285e-17
3908.9342272938934,6.9478465e-16,6.35133e-17
3911.7946592000144,7.819558e-16,6.354061e-17
3914.655091106136,8.5251113e-16,6.364921e-17
3917.515523012257,6.9848497e-16,6.160178e-17
3920.375954918378,6.17611e-16,6.007433e-17
3923.236386824499,7.059918e-16,6.025929e-17
3926.09681873062,6.6048336e-16,5.8921425e-17
3928.9572506367413,6.550116e-16,5.8892844e-17
3931.8176825428623,6.560013e-16,5.8902784e-17
3934.6781144489833,6.1322125e-16,5.8527025e-17
3937.5385463551042,5.68527e-16,5.7120514e-17
3940.3989782612257,7.593077e-16,5.882854e-17
3943.2594101673467,7.3193335e-16,5.8590195e-17
3946.1198420734677,6.6558234e-16,5.762522e-17
3948.9802739795887,7.410306e-16,5.808224e-17
3951.84070588571,7.6073157e-16,5.827764e-17
3954.701137791831,7.726736e-16,5.777768e-17
3957.561569697952,6.484418e-16,5.563789e-17
3960.422001604073,6.795086e-16,5.597368e-17
3963.282433510194,6.4372884e-16,5.5508574e-17
3966.1428654163155,6.8510185e-16,5.5221883e-17
3969.0032973224365,6.829556e-16,5.4593603e-17
3971.8637292285575,7.066235e-16,5.5213297e-17
3974.7241611346785,7.0954457e-16,5.4744494e-17
3977.5845930408,6.839092e-16,5.4537834e-17
3980.445024946921,6.9636024e-16,5.487115e-17
3983.305456853042,7.1658384e-16,5.4708988e-17
3986.165888759163,7.889891e-16,5.576143e-17
3989.0263206652844,7.757251e-16,5.5545555e-17
3991.8867525714054,8.454931e-16,5.5983405e-17
3994.7471844775264,8.968568e-16,5.6025585e-17
3997.6076163836474,9.070687e-16,5.624629e-17
4000.4680482897684,9.061099e-16,5.5957286e-17
4003.32848019589,8.1820355e-16,5.4845268e-17
4006.188912102011,8.6521176e-16,5.5380007e-17
4009.049344008132,8.7953614e-16,5.5167888e-17
4011.9097759142533,7.912812e-16,5.399593e-17
4014.7702078203743,7.2908324e-16,5.3109035e-17
4017.6306397264952,8.431354e-16,5.39444e-17
4020.4910716326162,8.433375e-16,5.33571e-17
4023.3515035387372,7.910884e-16,5.279963e-17
4026.2119354448587,6.404773e-16,5.0952747e-17
4029.0723673509797,6.767997e-16,5.0767188e-17
4031.9327992571007,7.184728e-16,5.1245814e-17
4034.7932311632217,6.71131e-16,5.078509e-17
4037.653663069343,6.381539e-16,5.052312e-17
4040.514094975464,6.683868e-16,5.072811e-17
4043.374526881585,6.993291e-16,5.0662596e-17
4046.234958787706,7.5104437e-16,5.0644768e-17
4049.0953906938275,8.1634595e-16,5.1277595e-17
4051.9558225999485,7.5575207e-16,5.0888608e-17
4054.8162545060695,7.252972e-16,5.0068518e-17
4057.6766864121905,6.5649834e-16,4.926731e-17
4060.5371183183115,7.1456753e-16,4.915362e-17
4063.397550224433,7.296905e-16,4.8981467e-17
4066.257982130554,7.600901e-16,4.8967726e-17
4069.118414036675,6.984844e-16,4.8501997e-17
4071.978845942796,6.9867777e-16,4.8338562e-17
4074.8392778489174,6.5085323e-16,4.7657197e-17
4077.6997097550384,6.872734e-16,4.7703777e-17
4080.5601416611594,7.2276347e-16,4.7571094e-17
4083.4205735672804,7.063126e-16,4.7285455e-17
4086.281005473402,7.142313e-16,4.7272637e-17
4089.141437379523,6.423736e-16,4.6216086e-17
4092.001869285644,6.6477644e-16,4.6159944e-17
4094.862301191765,6.2789335e-16,4.5360596e-17
4097.722733097886,7.1602384e-16,4.5999034e-17
4100.583165004007,7.2649005e-16,4.5900325e-17
4103.443596910129,6.6624356e-16,4.5115585e-17
4106.304028816249,7.2881044e-16,4.5338087e-17
4109.164460722371,7.342716e-16,4.536507e-17
4112.024892628491,6.4271457e-16,4.4458847e-17
4114.885324534613,6.58545e-16,4.3918284e-17
4117.745756440734,6.541938e-16,4.4088184e-17
4120.606188346855,6.834593e-16,4.4068282e-17
4123.466620252976,6.907368e-16,4.3890372e-17
4126.327052159097,7.029196e-16,4.354174e-17
4129.187484065218,7.2198563e-16,4.3578644e-17
4132.0479159713395,6.875286e-16,4.3283824e-17
4134.90834787746,6.243048e-16,4.2555978e-17
4137.7687797835815,6.027684e-16,4.2113433e-17
4140.629211689703,6.3399553e-16,4.231372e-17
4143.4896435958235,6.5887157e-16,4.225401e-17
4146.350075501945,6.457942e-16,4.1964778e-17
4149.2105074080655,5.93306e-16,4.130959e-17
4152.070939314187,6.386447e-16,4.1805136e-17
4154.931371220308,6.1129415e-16,4.1435254e-17
4157.791803126429,6.309305e-16,4.140896e-17
4160.65223503255,5.3845133e-16,4.036651e-17
4163.512666938672,5.8736446e-16,4.0739254e-17
4166.373098844792,6.233884e-16,4.108253e-17
4169.233530750914,5.9594e-16,4.05052e-17
4172.093962657034,6.5815175e-16,4.102598e-17
4174.954394563156,6.024208e-16,4.0125737e-17
4177.814826469277,6.092167e-16,3.9931016e-17
4180.675258375398,5.7764725e-16,3.920576e-17
4183.535690281519,6.043421e-16,3.938548e-17
4186.39612218764,6.7568543e-16,3.972205e-17
4189.256554093761,6.22001e-16,3.9164736e-17
4192.116985999883,6.175532e-16,3.890297e-17
4194.977417906003,5.8552905e-16,3.859706e-17
4197.837849812125,6.1128817e-16,3.843981e-17
4200.698281718245,6.546547e-16,3.871386e-17
4203.558713624367,5.9220637e-16,3.8170362e-17
4206.419145530488,5.657762e-16,3.777626e-17
4209.279577436609,5.867467e-16,3.7601473e-17
4212.14000934273,6.106096e-16,3.756103e-17
4215.0004412488515,6.118168e-16,3.7381698e-17
4217.860873154972,6.3890636e-16,3.7583702e-17
4220.7213050610935,6.2241675e-16,3.7440974e-17
4223.581736967215,6.068928e-16,3.7347972e-17
4226.4421688733355,6.2531985e-16,3.7381417e-17
4229.302600779457,5.5257137e-16,3.632953e-17
4232.1630326855775,5.8487726e-16,3.657155e-17
4235.023464591699,5.890075e-16,3.679492e-17
4237.88389649782,5.968747e-16,3.650545e-17
4240.744328403941,6.0676173e-16,3.6505016e-17
4243.604760310062,5.928449e-16,3.6505403e-17
4246.465192216183,6.2975163e-16,3.647462e-17
4249.325624122304,6.0283854e-16,3.618699e-17
4252.186056028426,5.7521933e-16,3.613121e-17
